timestamp_iso,class,confidence,track_id,gender,age,age_group,x1,y1,x2,y2,frame_w,frame_h
2025-10-04T12:50:03.499820,person,0.5963,1,unknown,,unknown,0,0,232,591,1280,720
2025-10-04T12:50:03.617777,person,0.6669,1,unknown,,unknown,1,0,232,590,1280,720
2025-10-04T12:50:04.156024,person,0.5537,1,unknown,,unknown,2,0,231,584,1280,720
2025-10-04T12:50:04.813394,person,0.6101,1,unknown,,unknown,0,0,231,587,1280,720
2025-10-04T12:50:05.349617,person,0.6218,1,unknown,,unknown,0,0,231,586,1280,720
2025-10-04T12:50:05.894304,person,0.6492,4,unknown,,unknown,435,45,1219,713,1280,720
2025-10-04T12:50:06.417455,person,0.6659,4,unknown,,unknown,424,48,1203,713,1280,720
2025-10-04T12:50:06.946018,person,0.5392,4,unknown,,unknown,437,37,1220,713,1280,720
2025-10-04T12:50:06.946018,person,0.6739,6,unknown,,unknown,250,26,1011,710,1280,720
2025-10-04T12:50:06.946018,person,0.5614,1,unknown,,unknown,0,0,230,589,1280,720
2025-10-04T12:50:07.476619,person,0.7534,6,unknown,,unknown,246,34,1018,710,1280,720
2025-10-04T12:50:07.476619,person,0.6478,4,unknown,,unknown,410,56,1172,709,1280,720
2025-10-04T12:50:08.012182,person,0.7351,4,unknown,,unknown,347,24,1151,712,1280,720
2025-10-04T12:50:08.012182,person,0.5749,1,unknown,,unknown,2,0,229,573,1280,720
2025-10-04T12:50:08.537537,person,0.6147,4,unknown,,unknown,346,15,1145,695,1280,720
2025-10-04T12:50:09.163464,person,0.5874,6,unknown,,unknown,109,23,911,711,1280,720
2025-10-04T12:50:09.697147,person,0.6747,4,unknown,,unknown,411,57,1206,712,1280,720
2025-10-04T12:50:10.633495,person,0.5105,6,unknown,,unknown,198,55,991,712,1280,720
2025-10-04T12:50:10.633495,person,0.6160,4,unknown,,unknown,395,30,1237,713,1280,720
2025-10-04T12:50:12.454197,person,0.5306,6,unknown,,unknown,126,81,930,717,1280,720
2025-10-04T12:50:13.770293,person,0.6431,4,unknown,,unknown,330,33,1173,711,1280,720
2025-10-04T12:50:13.770293,person,0.5706,6,unknown,,unknown,70,6,939,692,1280,720
