timestamp_iso,class,confidence,track_id,gender,age,age_group,x1,y1,x2,y2,frame_w,frame_h
2025-10-05T14:06:00.314403,person,0.6924,1,unknown,,unknown,515,5,1260,720,1280,720
2025-10-05T14:06:00.314403,person,0.5536,2,unknown,,unknown,632,6,1158,703,1280,720
2025-10-05T14:06:00.314403,person,0.5430,3,unknown,,unknown,261,11,853,720,1280,720
2025-10-05T14:06:00.436744,person,0.7558,1,unknown,,unknown,520,1,1253,704,1280,720
2025-10-05T14:06:00.436744,person,0.5164,3,unknown,,unknown,266,13,855,718,1280,720
2025-10-05T14:06:01.067003,person,0.5610,1,unknown,,unknown,528,10,1259,706,1280,720
2025-10-05T14:06:01.614480,person,0.5431,1,unknown,,unknown,321,16,1005,661,1280,720
2025-10-05T14:06:01.614480,person,0.5264,3,unknown,,unknown,181,8,776,718,1280,720
2025-10-05T14:06:02.159453,person,0.5980,1,unknown,,unknown,244,9,985,647,1280,720
2025-10-05T14:06:02.159453,person,0.7268,3,unknown,,unknown,181,8,782,717,1280,720
2025-10-05T14:06:02.832613,person,0.5287,1,unknown,,unknown,259,8,1028,645,1280,720
2025-10-05T14:06:02.832613,person,0.5597,3,unknown,,unknown,210,9,791,678,1280,720
2025-10-05T14:06:03.443527,person,0.7269,1,unknown,,unknown,408,12,1177,700,1280,720
2025-10-05T14:06:03.942074,person,0.7399,1,unknown,,unknown,463,19,1182,700,1280,720
2025-10-05T14:06:04.469449,person,0.7863,1,unknown,,unknown,436,17,1157,705,1280,720
2025-10-05T14:06:05.029077,person,0.6198,1,unknown,,unknown,408,23,1148,707,1280,720
2025-10-05T14:06:05.029077,person,0.5777,3,unknown,,unknown,269,1,937,636,1280,720
2025-10-05T14:06:05.565571,person,0.6784,1,unknown,,unknown,373,11,1141,710,1280,720
2025-10-05T14:06:06.115731,person,0.5690,1,unknown,,unknown,348,9,1138,719,1280,720
2025-10-05T14:06:06.639798,person,0.5144,1,unknown,,unknown,358,9,1126,690,1280,720
2025-10-05T14:06:07.185320,person,0.6279,1,unknown,,unknown,343,6,1151,710,1280,720
2025-10-05T14:06:07.851650,person,0.6770,1,unknown,,unknown,491,13,1277,700,1280,720
