timestamp_iso,class,confidence,x1,y1,x2,y2,frame_w,frame_h
2025-10-03T16:39:12.661272,person,0.9125,117,36,581,355,640,360
2025-10-03T16:39:13.205215,person,0.9213,110,30,574,355,640,360
2025-10-03T16:39:13.750267,person,0.9183,124,35,573,355,640,360
2025-10-03T16:39:14.264575,person,0.9151,130,38,575,355,640,360
2025-10-03T16:39:14.807264,person,0.9076,123,40,576,355,640,360
2025-10-03T16:39:15.350748,person,0.9056,125,40,586,355,640,360
2025-10-03T16:39:15.862954,person,0.9132,130,40,576,355,640,360
2025-10-03T16:39:16.407100,person,0.9105,130,41,576,355,640,360
2025-10-03T16:39:16.951536,person,0.9043,138,41,579,355,640,360
2025-10-03T16:39:17.464407,person,0.8947,128,42,577,355,640,360
2025-10-03T16:39:18.007646,person,0.9096,125,42,615,355,640,360
2025-10-03T16:39:18.550840,person,0.9103,125,43,591,355,640,360
2025-10-03T16:39:19.062022,person,0.9072,125,43,588,355,640,360
2025-10-03T16:39:19.603936,person,0.9084,126,44,576,355,640,360
2025-10-03T16:39:20.104527,person,0.8993,132,43,580,355,640,360
2025-10-03T16:39:20.615145,person,0.9001,131,43,579,355,640,360
2025-10-03T16:39:21.158799,person,0.9141,126,43,581,355,640,360
2025-10-03T16:39:21.703794,person,0.9115,125,45,594,355,640,360
2025-10-03T16:39:22.215259,person,0.9139,125,43,593,355,640,360
2025-10-03T16:39:22.760257,person,0.9225,124,42,590,355,640,360
2025-10-03T16:39:23.303547,person,0.9234,125,43,605,355,640,360
2025-10-03T16:39:23.852953,person,0.9166,125,41,600,355,640,360
2025-10-03T16:39:24.361200,person,0.9159,125,39,585,355,640,360
2025-10-03T16:39:24.863685,person,0.9008,136,41,582,355,640,360
2025-10-03T16:39:25.414547,person,0.9110,124,41,591,355,640,360
2025-10-03T16:39:25.960221,person,0.8955,128,41,580,355,640,360
2025-10-03T16:39:26.503830,person,0.9165,136,39,578,355,640,360
2025-10-03T16:39:27.016117,person,0.9291,122,29,566,355,640,360
2025-10-03T16:39:27.558391,person,0.9148,122,24,561,355,640,360
2025-10-03T16:39:28.104172,person,0.9140,121,20,557,355,640,360
2025-10-03T16:39:28.618418,person,0.9052,111,19,555,355,640,360
2025-10-03T16:39:29.159703,person,0.9191,116,21,550,355,640,360
2025-10-03T16:39:29.704988,person,0.9110,103,20,542,355,640,360
2025-10-03T16:39:30.219141,person,0.9283,67,22,482,355,640,360
2025-10-03T16:39:30.219141,bed,0.5898,449,244,639,355,640,360
2025-10-03T16:39:30.761725,person,0.9399,90,24,485,355,640,360
2025-10-03T16:39:30.761725,bed,0.5640,453,255,639,355,640,360
2025-10-03T16:39:31.303301,person,0.9189,93,24,497,355,640,360
2025-10-03T16:39:31.303301,bed,0.5033,456,249,639,355,640,360
2025-10-03T16:39:31.815610,person,0.9372,101,24,494,355,640,360
2025-10-03T16:39:31.815610,bed,0.6235,458,257,639,355,640,360
2025-10-03T16:39:32.361207,person,0.9282,86,21,489,355,640,360
2025-10-03T16:39:32.361207,bed,0.5333,456,255,639,355,640,360
2025-10-03T16:39:32.907186,person,0.9275,86,21,496,355,640,360
2025-10-03T16:39:33.416412,person,0.8832,103,23,533,356,640,360
2025-10-03T16:39:33.960887,person,0.8918,97,22,593,355,640,360
2025-10-03T16:39:34.505456,person,0.9369,136,26,514,355,640,360
2025-10-03T16:39:35.017197,person,0.9349,137,26,516,355,640,360
2025-10-03T16:39:35.560464,person,0.9384,139,26,510,356,640,360
2025-10-03T16:39:36.103807,person,0.9371,140,30,512,355,640,360
2025-10-03T16:39:36.615652,person,0.9267,137,27,506,356,640,360
2025-10-03T16:39:37.160986,person,0.8569,137,29,510,356,640,360
2025-10-03T16:39:37.160986,cell phone,0.6689,291,49,404,268,640,360
2025-10-03T16:39:37.705539,person,0.6628,142,38,506,355,640,360
2025-10-03T16:39:37.705539,cell phone,0.6274,261,39,412,286,640,360
2025-10-03T16:39:38.217271,cell phone,0.8237,295,64,399,293,640,360
2025-10-03T16:39:38.217271,person,0.6240,146,58,505,355,640,360
2025-10-03T16:39:38.760355,person,0.9292,142,27,506,356,640,360
2025-10-03T16:39:39.304544,person,0.8225,145,27,506,355,640,360
2025-10-03T16:39:39.304544,cell phone,0.7912,324,105,424,234,640,360
2025-10-03T16:39:39.813826,person,0.8601,145,28,506,355,640,360
2025-10-03T16:39:39.813826,cell phone,0.7273,328,89,430,216,640,360
2025-10-03T16:39:40.362892,person,0.8539,144,29,506,355,640,360
2025-10-03T16:39:40.362892,cell phone,0.5918,331,81,436,208,640,360
2025-10-03T16:39:40.921958,person,0.9011,142,29,506,355,640,360
2025-10-03T16:39:40.921958,cell phone,0.6576,334,81,436,210,640,360
2025-10-03T16:39:41.464589,person,0.9288,138,27,505,356,640,360
2025-10-03T16:39:42.009605,person,0.8941,127,26,505,356,640,360
2025-10-03T16:39:42.520787,person,0.9181,116,21,500,356,640,360
2025-10-03T16:39:43.064039,person,0.9120,117,21,481,355,640,360
2025-10-03T16:39:43.064039,cell phone,0.7925,287,219,405,318,640,360
2025-10-03T16:39:43.064039,bed,0.6221,447,235,639,355,640,360
2025-10-03T16:39:43.607529,person,0.9465,132,23,482,356,640,360
2025-10-03T16:39:43.607529,cell phone,0.8357,315,279,440,359,640,360
2025-10-03T16:39:43.607529,bed,0.5808,446,256,639,355,640,360
2025-10-03T16:39:44.121201,person,0.9280,133,23,487,355,640,360
2025-10-03T16:39:44.121201,bed,0.6479,450,256,639,355,640,360
2025-10-03T16:39:44.666302,person,0.9274,133,23,490,356,640,360
2025-10-03T16:39:44.666302,bed,0.6763,452,231,639,355,640,360
2025-10-03T16:39:45.209625,person,0.9189,132,23,491,356,640,360
2025-10-03T16:39:45.209625,bed,0.6480,452,232,639,355,640,360
2025-10-03T16:39:45.718523,person,0.9333,131,23,488,356,640,360
2025-10-03T16:39:45.718523,bed,0.5627,451,229,639,355,640,360
2025-10-03T16:39:46.265446,person,0.9202,126,25,493,356,640,360
2025-10-03T16:39:46.265446,bed,0.5328,457,246,639,355,640,360
2025-10-03T16:39:46.806443,person,0.9195,124,27,507,356,640,360
2025-10-03T16:39:47.318563,person,0.9222,118,25,539,355,640,360
2025-10-03T16:39:47.865599,person,0.9209,107,22,543,356,640,360
2025-10-03T16:39:48.410845,person,0.9217,103,20,552,356,640,360
2025-10-03T16:39:48.918639,person,0.8846,117,22,614,355,640,360
2025-10-03T16:39:49.462460,person,0.8984,121,23,636,355,640,360
2025-10-03T16:39:50.007213,person,0.9099,119,23,639,355,640,360
2025-10-03T16:39:50.519687,person,0.9121,118,22,639,355,640,360
2025-10-03T16:39:51.062683,person,0.9345,108,20,638,356,640,360
2025-10-03T16:39:51.608360,person,0.9351,108,21,639,356,640,360
2025-10-03T16:39:52.121908,person,0.9282,107,21,639,356,640,360
2025-10-03T16:39:52.665214,person,0.9205,115,21,638,356,640,360
2025-10-03T16:39:53.207662,person,0.9238,114,21,573,356,640,360
2025-10-03T16:39:53.722383,person,0.9078,109,20,531,355,640,360
2025-10-03T16:39:54.223349,person,0.9190,109,20,525,356,640,360
2025-10-03T16:39:54.753817,person,0.9188,109,20,523,356,640,360
2025-10-03T16:39:55.274946,person,0.9131,106,21,519,355,640,360
2025-10-03T16:39:55.814658,person,0.9124,105,19,523,355,640,360
2025-10-03T16:39:56.360022,person,0.9033,108,21,543,356,640,360
2025-10-03T16:39:56.871553,person,0.8924,113,21,593,355,640,360
2025-10-03T16:39:57.417097,person,0.9052,112,23,558,355,640,360
2025-10-03T16:39:57.960844,person,0.8756,116,24,586,354,640,360
2025-10-03T16:39:58.473834,person,0.8517,122,26,603,355,640,360
2025-10-03T16:39:59.016410,person,0.8784,123,25,621,354,640,360
2025-10-03T16:39:59.559993,person,0.8961,112,26,627,355,640,360
2025-10-03T16:40:00.073717,person,0.9205,117,25,640,354,640,360
2025-10-03T16:40:00.616387,person,0.8811,122,24,614,356,640,360
2025-10-03T16:40:01.159909,person,0.8777,123,25,594,355,640,360
2025-10-03T16:40:01.669951,person,0.8848,118,25,610,355,640,360
2025-10-03T16:40:02.215133,person,0.8676,120,25,581,354,640,360
2025-10-03T16:40:02.717155,person,0.8980,124,26,608,355,640,360
2025-10-03T16:40:03.270523,person,0.8713,122,26,606,355,640,360
2025-10-03T16:40:03.813789,person,0.8842,124,26,606,355,640,360
2025-10-03T16:40:04.359536,person,0.8674,121,26,601,355,640,360
2025-10-03T16:40:04.870310,person,0.8830,122,26,603,355,640,360
2025-10-03T16:40:05.416340,person,0.8776,121,26,614,354,640,360
2025-10-03T16:40:05.959376,person,0.8622,120,26,602,355,640,360
2025-10-03T16:40:06.471449,person,0.8743,120,26,609,354,640,360
2025-10-03T16:40:07.013076,person,0.8946,112,26,627,354,640,360
2025-10-03T16:40:07.558156,person,0.8961,120,26,625,354,640,360
2025-10-03T16:40:08.071808,person,0.8970,122,26,631,355,640,360
2025-10-03T16:40:08.616426,person,0.8829,112,26,625,354,640,360
2025-10-03T16:40:09.162183,person,0.8825,120,26,616,354,640,360
2025-10-03T16:40:09.670045,person,0.8611,113,26,628,353,640,360
2025-10-03T16:40:10.215255,person,0.8647,125,26,601,354,640,360
2025-10-03T16:40:10.759613,person,0.8925,124,26,610,354,640,360
2025-10-03T16:40:11.268468,person,0.8654,124,26,592,354,640,360
2025-10-03T16:40:11.768952,person,0.8842,118,26,603,354,640,360
2025-10-03T16:40:12.310690,person,0.9129,120,24,637,354,640,360
2025-10-03T16:40:12.823685,person,0.8772,106,20,612,355,640,360
2025-10-03T16:40:13.366079,person,0.9098,113,20,561,355,640,360
2025-10-03T16:40:13.911078,person,0.9000,115,21,566,355,640,360
2025-10-03T16:40:14.422504,person,0.9190,145,19,570,355,640,360
2025-10-03T16:40:14.966343,person,0.9191,146,22,569,355,640,360
2025-10-03T16:40:15.512012,person,0.9229,145,23,571,354,640,360
2025-10-03T16:40:16.023724,person,0.9286,146,25,567,355,640,360
2025-10-03T16:40:16.565873,person,0.9227,156,27,573,355,640,360
2025-10-03T16:40:17.110704,person,0.9135,152,24,570,355,640,360
2025-10-03T16:40:17.622131,person,0.9131,153,25,571,355,640,360
2025-10-03T16:40:18.168272,person,0.9212,152,27,567,355,640,360
2025-10-03T16:40:18.711457,person,0.9211,159,29,569,355,640,360
2025-10-03T16:40:19.221220,person,0.9231,164,29,569,355,640,360
2025-10-03T16:40:19.767137,person,0.9191,155,28,571,354,640,360
2025-10-03T16:40:20.312042,person,0.9240,152,25,570,355,640,360
2025-10-03T16:40:20.820251,person,0.9234,151,25,569,355,640,360
2025-10-03T16:40:21.367128,person,0.9179,151,25,569,355,640,360
2025-10-03T16:40:21.911789,person,0.9144,150,26,566,355,640,360
2025-10-03T16:40:22.424107,person,0.9144,149,25,566,355,640,360
2025-10-03T16:40:22.969107,person,0.9205,152,26,565,355,640,360
2025-10-03T16:40:23.510315,person,0.9243,150,26,566,355,640,360
2025-10-03T16:40:24.023197,person,0.8922,132,27,564,355,640,360
2025-10-03T16:40:24.565535,person,0.8790,55,15,547,356,640,360
2025-10-03T16:40:25.112504,person,0.8761,91,10,543,355,640,360
2025-10-03T16:40:25.622802,person,0.8767,84,12,548,355,640,360
2025-10-03T16:40:26.166212,person,0.8654,80,16,542,354,640,360
2025-10-03T16:40:26.710996,person,0.8558,94,28,527,356,640,360
2025-10-03T16:40:27.222885,person,0.8691,92,26,551,355,640,360
2025-10-03T16:40:27.766115,person,0.8986,89,22,512,355,640,360
2025-10-03T16:40:28.329121,person,0.9124,87,26,497,355,640,360
2025-10-03T16:40:28.329121,bed,0.5363,454,237,639,355,640,360
2025-10-03T16:40:28.874517,person,0.9217,87,25,488,355,640,360
